filename,old_query,new_query
browser_extension_installation.yml,"filter ( tgt.file.path matches ""\\bWebstore Downloads\\b.*\\.crx$"" || tgt.file.path matches ""\\bstaged\\b.*\\.xpi$"" ) && event.type == ""File Creation""","( tgt.file.path matches ""\\bWebstore Downloads\\b.*\\.crx$"" || tgt.file.path matches ""\\bstaged\\b.*\\.xpi$"" ) && event.type == ""File Creation"""
bypass_user_access_control.yml,"(SrcProcCmdLine ContainsCIS ""ms-settings\shell\open\command"" OR SrcProcCmdLine ContainsCIS ""mscfile\shell\open\command"") OR (TgtProcDisplayName = ""COM Surrogate"" AND TgtProcCmdLine ContainsCIS ""{3E5FC7F9-9A51-4367-9063-A120244FBEC7}"")","(src.process.cmdline contains ""ms-settings\shell\open\command"" OR src.process.cmdline contains ""mscfile\shell\open\command"") OR (TgtProcDisplayName = ""COM Surrogate"" AND tgt.process.cmdline contains ""{3E5FC7F9-9A51-4367-9063-A120244FBEC7}"")"
change_shell_open_regkeys.yml,"--- File assoc change by registry
RegistryKeyPath In Contains Anycase ( ""\shell\open\command"" , ""\shell\print\command"" , ""\shell\printto\command"" ) AND EventType In ( ""Registry Value Create"" , ""Registry Value Modified"" )","--- File assoc change by registry registry.keyPath in contains Anycase ( ""\shell\open\command"" , ""\shell\print\command"" , ""\shell\printto\command"" ) AND event.type in ( ""Registry Value Create"" , ""Registry Value Modified"" )"
clear_windows_event_logs.yml,"(TgtProcName  = ""wevtutil.exe"" AND TgtProcCmdLine ContainsCIS ""cl "") OR ((SrcProcCmdLine ContainsCIS ""Clear-EventLog"" OR SrcProcCmdScript ContainsCIS ""Clear-EventLog"") AND SrcProcParentName Not In (""WmiPrvSE.exe"",""PFERemediation.exe"",""svchost.exe""))","(tgt.process.name = ""wevtutil.exe"" AND tgt.process.cmdline contains ""cl "") OR ((src.process.cmdline contains ""Clear-EventLog"" OR SrcProcCmdScript contains ""Clear-EventLog"") AND SrcProcParentName Not in (""WmiPrvSE.exe"",""PFERemediation.exe"",""svchost.exe""))"
cmstp_signed_binary_proxy_execution.yml,"SrcProcName = ""cmstp.exe"" AND SrcProcCmdLine ContainsCIS ""/ni /s""","src.process.name = ""cmstp.exe"" AND src.process.cmdline contains ""/ni /s"""
compiled_html_file.yml,"(SrcProcName = ""hh.exe"" AND EventType = ""Open Remote Process Handle"") OR (SrcProcName = ""hh.exe"" AND SrcProcCmdLine RegExp ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"")","(src.process.name = ""hh.exe"" AND event.type = ""Open Remote Process Handle"") OR (src.process.name = ""hh.exe"" AND src.process.cmdline matches ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"")"
cor_profiler.yml,"(SrcProcCmdScript Contains ""COR_"" AND SrcProcCmdScript Contains ""\Environment"") OR RegistryKeyPath Contains ""COR_PROFILER_PATH"" OR SrcProcCmdScript Contains ""$env:COR_""","(SrcProcCmdScript contains ""COR_"" AND SrcProcCmdScript contains ""\Environment"") OR registry.keyPath contains ""COR_PROFILER_PATH"" OR SrcProcCmdScript contains ""$env:COR_"""
csc_compile_after_delivery.yml,"(TgtProcName = ""csc.exe"" AND SrcProcCmdLine Contains ""/target:exe"") OR (SrcProcName  = ""csc.exe"" AND TgtFileIsExecutable = ""true"" AND SrcProcParentName Not In (""svchost.exe""))","(tgt.process.name = ""csc.exe"" AND src.process.cmdline contains ""/target:exe"") OR (src.process.name = ""csc.exe"" AND TgtFileIsExecutable = ""true"" AND SrcProcParentName Not in (""svchost.exe""))"
deobfuscate_or_decode_files.yml,"(TgtProcName != ""certutil.exe"" AND TgtProcDisplayName = ""CertUtil.exe"") OR ( TgtProcDisplayName = ""CertUtil.exe"" AND (TgtProcCmdLine RegExp ""^.*(-decode).*\.(exe)"" OR TgtProcCmdLine RegExp ""^.*(-encode).*\.(exe)"") )","(tgt.process.name != ""certutil.exe"" AND TgtProcDisplayName = ""CertUtil.exe"") OR ( TgtProcDisplayName = ""CertUtil.exe"" AND (tgt.process.cmdline matches ""^.*(-decode).*\.(exe)"" OR tgt.process.cmdline matches ""^.*(-encode).*\.(exe)"") )"
disable_defender_firewall.yml,"TgtProcName = ""netsh.exe"" AND TgtProcCmdLine ContainsCIS ""state off""","tgt.process.name = ""netsh.exe"" AND tgt.process.cmdline contains ""state off"""
disable_iis_logging.yml,"TgtProcName = ""appcmd.exe"" AND TgtProcCmdLine ContainsCIS ""/dontLog:true"" AND TgtProcCmdLine ContainsCIS ""/section:httplogging""","tgt.process.name = ""appcmd.exe"" AND tgt.process.cmdline contains ""/dontLog:true"" AND tgt.process.cmdline contains ""/section:httplogging"""
disable_microsoft_office_security_features.yml,"(RegistryKeyPath ContainsCIS ""Excel\Security"" OR RegistryKeyPath ContainsCIS ""Excel\Security\ProtectedView"") AND RegistryKeyPath In Contains Anycase (""VBAWarnings"",""DisableInternetFilesInPV"",""DisableUnsafeLocationsInPV"",""DisableAttachementsInPV"") AND EventType In (""Registry Value Create"",""Registry Value Modified"")","(registry.keyPath contains ""Excel\Security"" OR registry.keyPath contains ""Excel\Security\ProtectedView"") AND registry.keyPath in contains Anycase (""VBAWarnings"",""DisableInternetFilesInPV"",""DisableUnsafeLocationsInPV"",""DisableAttachementsInPV"") AND event.type in (""Registry Value Create"",""Registry Value Modified"")"
disable_or_modify_service_execution.yml,"(RegistryKeyPath RegExp ""\bMACHINE\\SYSTEM\\.*ControlSet.*\\Services\\.*\\Start"" AND EventType = ""Registry Value Modified"") AND SrcProcParentName Not In (""services.exe"",""svchost.exe"",""smss.exe"",""WmiPrvSE.exe"",""wininit.exe"",""TiWorker.exe"",""msiexec.exe"",""OfficeClickToRun.exe"") AND SrcProcName Not In (""GoogleUpdate.exe"")","(registry.keyPath matches ""\bMACHINE\\SYSTEM\\.*ControlSet.*\\Services\\.*\\Start"" AND event.type = ""Registry Value Modified"") AND SrcProcParentName Not in (""services.exe"",""svchost.exe"",""smss.exe"",""WmiPrvSE.exe"",""wininit.exe"",""TiWorker.exe"",""msiexec.exe"",""OfficeClickToRun.exe"") AND src.process.name Not in (""GoogleUpdate.exe"")"
disable_sysmon.yml,"(TgtProcName = ""fltmc.exe"" AND TgtProcCmdLine ContainsCIS ""unload SysmonDrv"") OR (TgtProcName = ""sysmon.exe"" AND TgtProcCmdLine ContainsCIS ""-u"")","(tgt.process.name = ""fltmc.exe"" AND tgt.process.cmdline contains ""unload SysmonDrv"") OR (tgt.process.name = ""sysmon.exe"" AND tgt.process.cmdline contains ""-u"")"
dll_search_order_hijacking.yml,"(FileFullName ContainsCIS ""amsi.dll"" AND FileFullName Does Not ContainCIS ""System32"") AND EventType = ""File Creation""","(FileFullName contains ""amsi.dll"" AND FileFullName Does Not ContainCIS ""System32"") AND event.type = ""File Creation"""
dll_sideloading_of_npp_gup.yml,"TgtProcDisplayName = ""WinGup for Notepad++"" and SrcProcName Not In (""notepad++.exe"",""explorer.exe"",""lsass.exe"",""csrss.exe"",""svchost.exe"",""WerFault.exe"")","TgtProcDisplayName = ""WinGup for Notepad++"" and src.process.name Not in (""notepad++.exe"",""explorer.exe"",""lsass.exe"",""csrss.exe"",""svchost.exe"",""WerFault.exe"")"
edge_or_ie_cred_extraction_w_pwsh.yml,"SrcProcCmdScript ContainsCIS ""Windows.Security.Credentials.PasswordVault"" OR SrcProcCmdScript ContainsCIS ""RetrievePassword""","SrcProcCmdScript contains ""Windows.Security.Credentials.PasswordVault"" OR SrcProcCmdScript contains ""RetrievePassword"""
enable_guest_account_with_rdp_and_admin.yml,"(SrcProcCmdLine ContainsCIS ""net localgroup"" AND SrcProcCmdLine ContainsCIS ""guest /add"") OR (SrcProcCmdLine ContainsCIS ""net user"" AND SrcProcCmdLine ContainsCIS ""/active:yes"") OR (RegistryKeyPath In Contains (""Terminal Server\AllowTSConnections"",""Terminal Server\DenyTSConnections"") AND EventType In (""Registry Value Create"",""Registry Value Modified""))","(src.process.cmdline contains ""net localgroup"" AND src.process.cmdline contains ""guest /add"") OR (src.process.cmdline contains ""net user"" AND src.process.cmdline contains ""/active:yes"") OR (registry.keyPath in contains (""Terminal Server\AllowTSConnections"",""Terminal Server\DenyTSConnections"") AND event.type in (""Registry Value Create"",""Registry Value Modified""))"
exchange_transport_agent_cmdlet_use.yml,"SrcProcCmdLine In Contains Anycase (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"") OR SrcProcCmdScript In Contains Anycase (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"")","src.process.cmdline in contains Anycase (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"") OR SrcProcCmdScript in contains Anycase (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"")"
findstr_password_extraction.yml,"TgtProcCmdLine ContainsCIS ""/si pass"" OR TgtProcCmdLine ContainsCIS ""-pattern password""","tgt.process.cmdline contains ""/si pass"" OR tgt.process.cmdline contains ""-pattern password"""
group_policy_preference_extraction.yml,"TgtProcCmdline RegExp ""^.*\/S cpassword.*\\sysvol\\.*.xml"" OR TgtProcCmdline ContainsCIS ""Get-GPPPassword"" OR SrcProcCmdScript ContainsCIS ""Get-ChildItem -Path \""\\$Server\SYSVOL\"" -Recurse -ErrorAction SilentlyContinue -Include 'Groups.xml','Services.xml','Scheduledtasks.xml','DataSources.xml','Printers.xml','Drives.xml'""","TgtProcCmdline matches ""^.*\/S cpassword.*\\sysvol\\.*.xml"" OR TgtProcCmdline contains ""Get-GPPPassword"" OR SrcProcCmdScript contains ""Get-ChildItem -Path \""\\$Server\SYSVOL\"" -Recurse -ErrorAction SilentlyContinue -Include 'Groups.xml','Services.xml','Scheduledtasks.xml','DataSources.xml','Printers.xml','Drives.xml'"""
image_file_execution_debugger.yml,"(RegistryKeyPath ContainsCIS ""CurrentVersion\Image File Execution Options"" AND RegistryKeyPath ContainsCIS "".exe\Debugger"") AND (EventType = ""Registry Value Create"" OR EventType = ""Registry Key Create"")","(registry.keyPath contains ""CurrentVersion\Image File Execution Options"" AND registry.keyPath contains "".exe\Debugger"") AND (event.type = ""Registry Value Create"" OR event.type = ""Registry Key Create"")"
image_file_execution_options_injection.yml,"RegistryKeyPath In Contains Anycase (""CurrentVersion\Image File Execution Options"",""CurrentVersion\SilentProcessExit"") AND RegistryKeyPath In Contains Anycase (""GlobalFlag"",""ReportingMode"",""MonitorProcess"")","registry.keyPath in contains Anycase (""CurrentVersion\Image File Execution Options"",""CurrentVersion\SilentProcessExit"") AND registry.keyPath in contains Anycase (""GlobalFlag"",""ReportingMode"",""MonitorProcess"")"
inhibit_system_recovery.yml,"TgtProcCmdLine In Contains Anycase (""delete shadows"",""shadowcopy delete"",""delete catalog"",""recoveryenabled no"") OR (TgtProcCmdLine ContainsCIS ""Win32_ShadowCopy"" AND TgtProcCmdLine ContainsCIS ""Delete()"") OR (SrcProcCmdScript ContainsCIS ""Win32_ShadowCopy"" AND SrcProcCmdScript ContainsCIS ""Delete()"")","tgt.process.cmdline in contains Anycase (""delete shadows"",""shadowcopy delete"",""delete catalog"",""recoveryenabled no"") OR (tgt.process.cmdline contains ""Win32_ShadowCopy"" AND tgt.process.cmdline contains ""Delete()"") OR (SrcProcCmdScript contains ""Win32_ShadowCopy"" AND SrcProcCmdScript contains ""Delete()"")"
invoke-maldoc.yml,"(RegistryPath In Contains (""Word\Security\AccessVBOM"",""Excel\Security\AccessVBOM"") AND EventType In (""Registry Value Create"",""Registry Value Modified"")) OR (SrcProcCmdLine In Contains Anycase (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application"") OR SrcProcCmdScript In Contains Anycase (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application""))","(RegistryPath in contains (""Word\Security\AccessVBOM"",""Excel\Security\AccessVBOM"") AND event.type in (""Registry Value Create"",""Registry Value Modified"")) OR (src.process.cmdline in contains Anycase (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application"") OR SrcProcCmdScript in contains Anycase (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application""))"
kerberoasting.yml,"IndicatorName StartsWith ""Kerberoasting""","IndicatorName StartsWith ""Kerberoasting"""
kill_eventlog_service_threads.yml,"SrcProcCmdLine ContainsCIS ""Invoke-Phant0m"" OR SrcProcCmdScript ContainsCIS ""$Kernel32::TerminateThread($getThread"" OR SrcProcCmdScript ContainsCIS ""Invoke-Phant0m""","src.process.cmdline contains ""Invoke-Phant0m"" OR SrcProcCmdScript contains ""$Kernel32::TerminateThread($getThread"" OR SrcProcCmdScript contains ""Invoke-Phant0m"""
lazagne_password_theft.yml,"TgtProcCmdline Contains ""reg.exe save hklm\s"" OR TgtFilePath Contains ""lazagne.exe.manifest""","TgtProcCmdline contains ""reg.exe save hklm\s"" OR TgtFilePath contains ""lazagne.exe.manifest"""
local_account_added_windows.yml,"SrcProcCmdLine In Contains Anycase (""net user /add"",""New-LocalUser"") OR SrcProcCmdLine RegExp ""\bdscl\b.*\b/\create\b"" OR SrcProcCmdLine RegExp ""\bnet localgroup administrators\b.*\b\/add\b""","src.process.cmdline in contains Anycase (""net user /add"",""New-LocalUser"") OR src.process.cmdline matches ""\bdscl\b.*\b/\create\b"" OR src.process.cmdline matches ""\bnet localgroup administrators\b.*\b\/add\b"""
logon_scripts_windows.yml,"SrcProcCmdLine ContainsCIS ""UserInitMprLogonScript"" OR (RegistryKeyPath ContainsCIS ""UserInitMprLogonScript"" AND EventType = ""Registry Value Create"")","src.process.cmdline contains ""UserInitMprLogonScript"" OR (registry.keyPath contains ""UserInitMprLogonScript"" AND event.type = ""Registry Value Create"")"
lsass_memory_dumping.yml,"TgtProcImageSha1 = ""f0c52cea19c204f5cdbe952cc7cfc182e20d8d43"" OR TgtProcCmdline ContainsCIS ""-ma lsass.exe"" OR TgtProcCmdline ContainsCIS ""comsvcs.dll, MiniDump"" OR TgtFilePath = ""C:\Windows\Temp\dumpert.dmp"" OR TgtFilePath RegExp ""^.*lsass.*.DMP"" OR (SrcProcCmdline ContainsCIS ""sekurlsa::minidump"" OR SrcProcCmdline ContainsCIS ""sekurlsa::logonpasswords"") OR SrcProcCmdline ContainsCIS ""live lsa""","TgtProcImageSha1 = ""f0c52cea19c204f5cdbe952cc7cfc182e20d8d43"" OR TgtProcCmdline contains ""-ma lsass.exe"" OR TgtProcCmdline contains ""comsvcs.dll, MiniDump"" OR TgtFilePath = ""C:\Windows\Temp\dumpert.dmp"" OR TgtFilePath matches ""^.*lsass.*.DMP"" OR (SrcProcCmdline contains ""sekurlsa::minidump"" OR SrcProcCmdline contains ""sekurlsa::logonpasswords"") OR SrcProcCmdline contains ""live lsa"""
lsa_secrets_extraction.yml,"TgtProcCmdLine ContainsCIS ""save HKLM\security\policy\secrets""","tgt.process.cmdline contains ""save HKLM\security\policy\secrets"""
malicious_documents.yml,"(SrcProcParentName In Contains (""WINWORD.EXE"",""EXCEL.EXE"") AND SrcProcName In Contains Anycase (""cmd.exe"",""cscript.exe"",""wscript.exe"",""certutil.exe"",""powershell.exe"",""msbuild.exe"",""csc.exe"")) OR IndicatorName = ""SuspiciousDocument""","(SrcProcParentName in contains (""WINWORD.EXE"",""EXCEL.EXE"") AND src.process.name in contains Anycase (""cmd.exe"",""cscript.exe"",""wscript.exe"",""certutil.exe"",""powershell.exe"",""msbuild.exe"",""csc.exe"")) OR IndicatorName = ""SuspiciousDocument"""
malicious_process_start_added_to_powershell_profile.yml,"(SrcProcCmdScript ContainsCIS ""Add-Content $profile -Value"" AND SrcProcCmdScript ContainsCIS ""Start-Process"") OR (TgtProcCmdLine ContainsCIS ""Add-Content $profile"" AND TgtProcCmdLine In Contains Anycase (""Start-Process"",""& "",""cmd.exe /c""))","(SrcProcCmdScript contains ""Add-Content $profile -Value"" AND SrcProcCmdScript contains ""Start-Process"") OR (tgt.process.cmdline contains ""Add-Content $profile"" AND tgt.process.cmdline in contains Anycase (""Start-Process"",""& "",""cmd.exe /c""))"
modified_sysinternals_accesschk.yml,"TgtProcName = ""accesschk.exe"" AND TgtProcDisplayName != ""Reports effective permissions for securable objects""","tgt.process.name = ""accesschk.exe"" AND TgtProcDisplayName != ""Reports effective permissions for securable objects"""
modify_or_create_windows_service.yml,"TgtProcName = ""sc.exe"" AND TgtProcCmdLine Contains ""binPath=""","tgt.process.name = ""sc.exe"" AND tgt.process.cmdline contains ""binPath="""
