filename,old_query,new_query
batchfile_execution_from_temp.yml,"filter src.process.name == ""cmd.exe"" && tgt.file.path contains ""\\Temp"" && tgt.file.type == ""bat"" && !(src.process.parent.name in (""msiexec.exe""))","filter src.process.name == ""cmd.exe"" && tgt.file.path contains ""\\Temp"" && tgt.file.type == ""bat"" && !(src.process.parent.name in (""msiexec.exe""))"
bits_jobs.yml,"filter ( ( tgt.process.name in:anycase (""bitsadmin.exe"", ""desktopimgdownldr.exe"") && ( tgt.process.cmdline matches ""https?:\\/\\/(www\\.)?[-a-zA-Z0-9@:%._\\+~#=]{1,256}\\.[a-zA-Z0-9()]{1,6}\\b([-a-zA-Z0-9()@:%_\\+.~#?&//=]*)"" || tgt.process.cmdline contains ""/setnotifycmdline "" ) ) || ( tgt.process.name == ""powershell.exe"" && tgt.process.cmdline contains ""Start-BitsTransfer"" ) ) && !(src.process.parent.name in (""services.exe"", ""smss.exe"", ""wininit.exe""))","filter ( ( tgt.process.name in:anycase (""bitsadmin.exe"", ""desktopimgdownldr.exe"") && ( tgt.process.cmdline matches ""https?:\\/\\/(www\\.)?[-a-zA-Z0-9@:%._\\+~#=]{1,256}\\.[a-zA-Z0-9()]{1,6}\\b([-a-zA-Z0-9()@:%_\\+.~#?&//=]*)"" || tgt.process.cmdline contains ""/setnotifycmdline "" ) ) || ( tgt.process.name == ""powershell.exe"" && tgt.process.cmdline contains ""Start-BitsTransfer"" ) ) && !(src.process.parent.name in (""services.exe"", ""smss.exe"", ""wininit.exe""))"
browser_extension_installation.yml,"filter ( tgt.file.path matches ""\\bWebstore Downloads\\b.*\\.crx$"" || tgt.file.path matches ""\\bstaged\\b.*\\.xpi$"" ) && event.type == ""File Creation""","filter ( tgt.file.path matches ""\\bWebstore Downloads\\b.*\\.crx$"" || tgt.file.path matches ""\\bstaged\\b.*\\.xpi$"" ) && event.type == ""File Creation"""
bypass_user_access_control.yml,"(SrcProcCmdLine ContainsCIS ""ms-settings\shell\open\command"" OR SrcProcCmdLine ContainsCIS ""mscfile\shell\open\command"") OR (TgtProcDisplayName = ""COM Surrogate"" AND TgtProcCmdLine ContainsCIS ""{3E5FC7F9-9A51-4367-9063-A120244FBEC7}"")","(src.process.command_line ContainsCIS ""ms-settings\shell\open\command"" OR src.process.command_line ContainsCIS ""mscfile\shell\open\command"") OR (TgtProcDisplayName = ""COM Surrogate"" AND TgtProcCmdLine ContainsCIS ""{3E5FC7F9-9A51-4367-9063-A120244FBEC7}"")"
change_shell_open_regkeys.yml,"--- File assoc change by registry
RegistryKeyPath In Contains Anycase ( ""\shell\open\command"" , ""\shell\print\command"" , ""\shell\printto\command"" ) AND EventType In ( ""Registry Value Create"" , ""Registry Value Modified"" )","--- File assoc change by registry registry.key_path contains ( ""\shell\open\command"" , ""\shell\print\command"" , ""\shell\printto\command"" ) AND event.type in ( ""Registry Value Create"" , ""Registry Value Modified"" )"
clear_windows_event_logs.yml,"(TgtProcName  = ""wevtutil.exe"" AND TgtProcCmdLine ContainsCIS ""cl "") OR ((SrcProcCmdLine ContainsCIS ""Clear-EventLog"" OR SrcProcCmdScript ContainsCIS ""Clear-EventLog"") AND SrcProcParentName Not In (""WmiPrvSE.exe"",""PFERemediation.exe"",""svchost.exe""))","(tgt.process.name = ""wevtutil.exe"" AND TgtProcCmdLine ContainsCIS ""cl "") OR ((src.process.command_line ContainsCIS ""Clear-EventLog"" OR SrcProcCmdScript ContainsCIS ""Clear-EventLog"") AND SrcProcParentName Not in (""WmiPrvSE.exe"",""PFERemediation.exe"",""svchost.exe""))"
cmstp_signed_binary_proxy_execution.yml,"SrcProcName = ""cmstp.exe"" AND SrcProcCmdLine ContainsCIS ""/ni /s""","src.process.name = ""cmstp.exe"" AND src.process.command_line ContainsCIS ""/ni /s"""
compiled_html_file.yml,"(SrcProcName = ""hh.exe"" AND EventType = ""Open Remote Process Handle"") OR (SrcProcName = ""hh.exe"" AND SrcProcCmdLine RegExp ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"")","(src.process.name = ""hh.exe"" AND event.type = ""Open Remote Process Handle"") OR (src.process.name = ""hh.exe"" AND src.process.command_line matches ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"")"
cor_profiler.yml,"(SrcProcCmdScript Contains ""COR_"" AND SrcProcCmdScript Contains ""\Environment"") OR RegistryKeyPath Contains ""COR_PROFILER_PATH"" OR SrcProcCmdScript Contains ""$env:COR_""","(SrcProcCmdScript Contains ""COR_"" AND SrcProcCmdScript Contains ""\Environment"") OR registry.key_path Contains ""COR_PROFILER_PATH"" OR SrcProcCmdScript Contains ""$env:COR_"""
csc_compile_after_delivery.yml,"(TgtProcName = ""csc.exe"" AND SrcProcCmdLine Contains ""/target:exe"") OR (SrcProcName  = ""csc.exe"" AND TgtFileIsExecutable = ""true"" AND SrcProcParentName Not In (""svchost.exe""))","(tgt.process.name = ""csc.exe"" AND src.process.command_line Contains ""/target:exe"") OR (src.process.name = ""csc.exe"" AND TgtFileIsExecutable = ""true"" AND SrcProcParentName Not in (""svchost.exe""))"
deobfuscate_or_decode_files.yml,"(TgtProcName != ""certutil.exe"" AND TgtProcDisplayName = ""CertUtil.exe"") OR ( TgtProcDisplayName = ""CertUtil.exe"" AND (TgtProcCmdLine RegExp ""^.*(-decode).*\.(exe)"" OR TgtProcCmdLine RegExp ""^.*(-encode).*\.(exe)"") )","(tgt.process.name != ""certutil.exe"" AND TgtProcDisplayName = ""CertUtil.exe"") OR ( TgtProcDisplayName = ""CertUtil.exe"" AND (TgtProcCmdLine matches ""^.*(-decode).*\.(exe)"" OR TgtProcCmdLine matches ""^.*(-encode).*\.(exe)"") )"
disable_defender_firewall.yml,"TgtProcName = ""netsh.exe"" AND TgtProcCmdLine ContainsCIS ""state off""","tgt.process.name = ""netsh.exe"" AND TgtProcCmdLine ContainsCIS ""state off"""
disable_iis_logging.yml,"TgtProcName = ""appcmd.exe"" AND TgtProcCmdLine ContainsCIS ""/dontLog:true"" AND TgtProcCmdLine ContainsCIS ""/section:httplogging""","tgt.process.name = ""appcmd.exe"" AND TgtProcCmdLine ContainsCIS ""/dontLog:true"" AND TgtProcCmdLine ContainsCIS ""/section:httplogging"""
disable_microsoft_office_security_features.yml,"(RegistryKeyPath ContainsCIS ""Excel\Security"" OR RegistryKeyPath ContainsCIS ""Excel\Security\ProtectedView"") AND RegistryKeyPath In Contains Anycase (""VBAWarnings"",""DisableInternetFilesInPV"",""DisableUnsafeLocationsInPV"",""DisableAttachementsInPV"") AND EventType In (""Registry Value Create"",""Registry Value Modified"")","(registry.key_path ContainsCIS ""Excel\Security"" OR registry.key_path ContainsCIS ""Excel\Security\ProtectedView"") AND registry.key_path contains (""VBAWarnings"",""DisableInternetFilesInPV"",""DisableUnsafeLocationsInPV"",""DisableAttachementsInPV"") AND event.type in (""Registry Value Create"",""Registry Value Modified"")"
disable_or_modify_service_execution.yml,"(RegistryKeyPath RegExp ""\bMACHINE\\SYSTEM\\.*ControlSet.*\\Services\\.*\\Start"" AND EventType = ""Registry Value Modified"") AND SrcProcParentName Not In (""services.exe"",""svchost.exe"",""smss.exe"",""WmiPrvSE.exe"",""wininit.exe"",""TiWorker.exe"",""msiexec.exe"",""OfficeClickToRun.exe"") AND SrcProcName Not In (""GoogleUpdate.exe"")","(registry.key_path matches ""\bMACHINE\\SYSTEM\\.*ControlSet.*\\Services\\.*\\Start"" AND event.type = ""Registry Value Modified"") AND SrcProcParentName Not in (""services.exe"",""svchost.exe"",""smss.exe"",""WmiPrvSE.exe"",""wininit.exe"",""TiWorker.exe"",""msiexec.exe"",""OfficeClickToRun.exe"") AND src.process.name Not in (""GoogleUpdate.exe"")"
disable_sysmon.yml,"(TgtProcName = ""fltmc.exe"" AND TgtProcCmdLine ContainsCIS ""unload SysmonDrv"") OR (TgtProcName = ""sysmon.exe"" AND TgtProcCmdLine ContainsCIS ""-u"")","(tgt.process.name = ""fltmc.exe"" AND TgtProcCmdLine ContainsCIS ""unload SysmonDrv"") OR (tgt.process.name = ""sysmon.exe"" AND TgtProcCmdLine ContainsCIS ""-u"")"
dll_search_order_hijacking.yml,"(FileFullName ContainsCIS ""amsi.dll"" AND FileFullName Does Not ContainCIS ""System32"") AND EventType = ""File Creation""","(FileFullName ContainsCIS ""amsi.dll"" AND FileFullName Does Not ContainCIS ""System32"") AND event.type = ""File Creation"""
dll_sideloading_of_npp_gup.yml,"TgtProcDisplayName = ""WinGup for Notepad++"" and SrcProcName Not In (""notepad++.exe"",""explorer.exe"",""lsass.exe"",""csrss.exe"",""svchost.exe"",""WerFault.exe"")","TgtProcDisplayName = ""WinGup for Notepad++"" and src.process.name Not in (""notepad++.exe"",""explorer.exe"",""lsass.exe"",""csrss.exe"",""svchost.exe"",""WerFault.exe"")"
edge_or_ie_cred_extraction_w_pwsh.yml,"SrcProcCmdScript ContainsCIS ""Windows.Security.Credentials.PasswordVault"" OR SrcProcCmdScript ContainsCIS ""RetrievePassword""","SrcProcCmdScript ContainsCIS ""Windows.Security.Credentials.PasswordVault"" OR SrcProcCmdScript ContainsCIS ""RetrievePassword"""
enable_guest_account_with_rdp_and_admin.yml,"(SrcProcCmdLine ContainsCIS ""net localgroup"" AND SrcProcCmdLine ContainsCIS ""guest /add"") OR (SrcProcCmdLine ContainsCIS ""net user"" AND SrcProcCmdLine ContainsCIS ""/active:yes"") OR (RegistryKeyPath In Contains (""Terminal Server\AllowTSConnections"",""Terminal Server\DenyTSConnections"") AND EventType In (""Registry Value Create"",""Registry Value Modified""))","(src.process.command_line ContainsCIS ""net localgroup"" AND src.process.command_line ContainsCIS ""guest /add"") OR (src.process.command_line ContainsCIS ""net user"" AND src.process.command_line ContainsCIS ""/active:yes"") OR (registry.key_path contains (""Terminal Server\AllowTSConnections"",""Terminal Server\DenyTSConnections"") AND event.type in (""Registry Value Create"",""Registry Value Modified""))"
exchange_transport_agent_cmdlet_use.yml,"SrcProcCmdLine In Contains Anycase (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"") OR SrcProcCmdScript In Contains Anycase (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"")","src.process.command_line contains (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"") OR SrcProcCmdScript contains (""Install-TransportAgent"",""Enable-TransportAgent"",""Get-TransportAgent"")"
findstr_password_extraction.yml,"TgtProcCmdLine ContainsCIS ""/si pass"" OR TgtProcCmdLine ContainsCIS ""-pattern password""","TgtProcCmdLine ContainsCIS ""/si pass"" OR TgtProcCmdLine ContainsCIS ""-pattern password"""
group_policy_preference_extraction.yml,"TgtProcCmdline RegExp ""^.*\/S cpassword.*\\sysvol\\.*.xml"" OR TgtProcCmdline ContainsCIS ""Get-GPPPassword"" OR SrcProcCmdScript ContainsCIS ""Get-ChildItem -Path \""\\$Server\SYSVOL\"" -Recurse -ErrorAction SilentlyContinue -Include 'Groups.xml','Services.xml','Scheduledtasks.xml','DataSources.xml','Printers.xml','Drives.xml'""","TgtProcCmdline matches ""^.*\/S cpassword.*\\sysvol\\.*.xml"" OR TgtProcCmdline ContainsCIS ""Get-GPPPassword"" OR SrcProcCmdScript ContainsCIS ""Get-ChildItem -Path \""\\$Server\SYSVOL\"" -Recurse -ErrorAction SilentlyContinue -Include 'Groups.xml','Services.xml','Scheduledtasks.xml','DataSources.xml','Printers.xml','Drives.xml'"""
image_file_execution_debugger.yml,"(RegistryKeyPath ContainsCIS ""CurrentVersion\Image File Execution Options"" AND RegistryKeyPath ContainsCIS "".exe\Debugger"") AND (EventType = ""Registry Value Create"" OR EventType = ""Registry Key Create"")","(registry.key_path ContainsCIS ""CurrentVersion\Image File Execution Options"" AND registry.key_path ContainsCIS "".exe\Debugger"") AND (event.type = ""Registry Value Create"" OR event.type = ""Registry Key Create"")"
image_file_execution_options_injection.yml,"RegistryKeyPath In Contains Anycase (""CurrentVersion\Image File Execution Options"",""CurrentVersion\SilentProcessExit"") AND RegistryKeyPath In Contains Anycase (""GlobalFlag"",""ReportingMode"",""MonitorProcess"")","registry.key_path contains (""CurrentVersion\Image File Execution Options"",""CurrentVersion\SilentProcessExit"") AND registry.key_path contains (""GlobalFlag"",""ReportingMode"",""MonitorProcess"")"
inhibit_system_recovery.yml,"TgtProcCmdLine In Contains Anycase (""delete shadows"",""shadowcopy delete"",""delete catalog"",""recoveryenabled no"") OR (TgtProcCmdLine ContainsCIS ""Win32_ShadowCopy"" AND TgtProcCmdLine ContainsCIS ""Delete()"") OR (SrcProcCmdScript ContainsCIS ""Win32_ShadowCopy"" AND SrcProcCmdScript ContainsCIS ""Delete()"")","TgtProcCmdLine contains (""delete shadows"",""shadowcopy delete"",""delete catalog"",""recoveryenabled no"") OR (TgtProcCmdLine ContainsCIS ""Win32_ShadowCopy"" AND TgtProcCmdLine ContainsCIS ""Delete()"") OR (SrcProcCmdScript ContainsCIS ""Win32_ShadowCopy"" AND SrcProcCmdScript ContainsCIS ""Delete()"")"
invoke-maldoc.yml,"(RegistryPath In Contains (""Word\Security\AccessVBOM"",""Excel\Security\AccessVBOM"") AND EventType In (""Registry Value Create"",""Registry Value Modified"")) OR (SrcProcCmdLine In Contains Anycase (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application"") OR SrcProcCmdScript In Contains Anycase (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application""))","(RegistryPath contains (""Word\Security\AccessVBOM"",""Excel\Security\AccessVBOM"") AND event.type in (""Registry Value Create"",""Registry Value Modified"")) OR (src.process.command_line contains (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application"") OR SrcProcCmdScript contains (""ActiveVBProject.VBComponents"",""Word.Application"",""Excel.Application""))"
kerberoasting.yml,"IndicatorName StartsWith ""Kerberoasting""","IndicatorName StartsWith ""Kerberoasting"""
kill_eventlog_service_threads.yml,"SrcProcCmdLine ContainsCIS ""Invoke-Phant0m"" OR SrcProcCmdScript ContainsCIS ""$Kernel32::TerminateThread($getThread"" OR SrcProcCmdScript ContainsCIS ""Invoke-Phant0m""","src.process.command_line ContainsCIS ""Invoke-Phant0m"" OR SrcProcCmdScript ContainsCIS ""$Kernel32::TerminateThread($getThread"" OR SrcProcCmdScript ContainsCIS ""Invoke-Phant0m"""
lazagne_password_theft.yml,"TgtProcCmdline Contains ""reg.exe save hklm\s"" OR TgtFilePath Contains ""lazagne.exe.manifest""","TgtProcCmdline Contains ""reg.exe save hklm\s"" OR TgtFilePath Contains ""lazagne.exe.manifest"""
local_account_added_windows.yml,"SrcProcCmdLine In Contains Anycase (""net user /add"",""New-LocalUser"") OR SrcProcCmdLine RegExp ""\bdscl\b.*\b/\create\b"" OR SrcProcCmdLine RegExp ""\bnet localgroup administrators\b.*\b\/add\b""","src.process.command_line contains (""net user /add"",""New-LocalUser"") OR src.process.command_line matches ""\bdscl\b.*\b/\create\b"" OR src.process.command_line matches ""\bnet localgroup administrators\b.*\b\/add\b"""
logon_scripts_windows.yml,"SrcProcCmdLine ContainsCIS ""UserInitMprLogonScript"" OR (RegistryKeyPath ContainsCIS ""UserInitMprLogonScript"" AND EventType = ""Registry Value Create"")","src.process.command_line ContainsCIS ""UserInitMprLogonScript"" OR (registry.key_path ContainsCIS ""UserInitMprLogonScript"" AND event.type = ""Registry Value Create"")"
lsass_memory_dumping.yml,"TgtProcImageSha1 = ""f0c52cea19c204f5cdbe952cc7cfc182e20d8d43"" OR TgtProcCmdline ContainsCIS ""-ma lsass.exe"" OR TgtProcCmdline ContainsCIS ""comsvcs.dll, MiniDump"" OR TgtFilePath = ""C:\Windows\Temp\dumpert.dmp"" OR TgtFilePath RegExp ""^.*lsass.*.DMP"" OR (SrcProcCmdline ContainsCIS ""sekurlsa::minidump"" OR SrcProcCmdline ContainsCIS ""sekurlsa::logonpasswords"") OR SrcProcCmdline ContainsCIS ""live lsa""","TgtProcImageSha1 = ""f0c52cea19c204f5cdbe952cc7cfc182e20d8d43"" OR TgtProcCmdline ContainsCIS ""-ma lsass.exe"" OR TgtProcCmdline ContainsCIS ""comsvcs.dll, MiniDump"" OR TgtFilePath = ""C:\Windows\Temp\dumpert.dmp"" OR TgtFilePath matches ""^.*lsass.*.DMP"" OR (SrcProcCmdline ContainsCIS ""sekurlsa::minidump"" OR SrcProcCmdline ContainsCIS ""sekurlsa::logonpasswords"") OR SrcProcCmdline ContainsCIS ""live lsa"""
lsa_secrets_extraction.yml,"TgtProcCmdLine ContainsCIS ""save HKLM\security\policy\secrets""","TgtProcCmdLine ContainsCIS ""save HKLM\security\policy\secrets"""
malicious_documents.yml,"(SrcProcParentName In Contains (""WINWORD.EXE"",""EXCEL.EXE"") AND SrcProcName In Contains Anycase (""cmd.exe"",""cscript.exe"",""wscript.exe"",""certutil.exe"",""powershell.exe"",""msbuild.exe"",""csc.exe"")) OR IndicatorName = ""SuspiciousDocument""","(SrcProcParentName contains (""WINWORD.EXE"",""EXCEL.EXE"") AND src.process.name contains (""cmd.exe"",""cscript.exe"",""wscript.exe"",""certutil.exe"",""powershell.exe"",""msbuild.exe"",""csc.exe"")) OR IndicatorName = ""SuspiciousDocument"""
malicious_process_start_added_to_powershell_profile.yml,"(SrcProcCmdScript ContainsCIS ""Add-Content $profile -Value"" AND SrcProcCmdScript ContainsCIS ""Start-Process"") OR (TgtProcCmdLine ContainsCIS ""Add-Content $profile"" AND TgtProcCmdLine In Contains Anycase (""Start-Process"",""& "",""cmd.exe /c""))","(SrcProcCmdScript ContainsCIS ""Add-Content $profile -Value"" AND SrcProcCmdScript ContainsCIS ""Start-Process"") OR (TgtProcCmdLine ContainsCIS ""Add-Content $profile"" AND TgtProcCmdLine contains (""Start-Process"",""& "",""cmd.exe /c""))"
modified_sysinternals_accesschk.yml,"TgtProcName = ""accesschk.exe"" AND TgtProcDisplayName != ""Reports effective permissions for securable objects""","tgt.process.name = ""accesschk.exe"" AND TgtProcDisplayName != ""Reports effective permissions for securable objects"""
